Bank_idBank,Customer_idCustomer,hashedPin,local_transfer_limit,overseas_transfer_limit
0,27,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,28,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,29,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,30,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,31,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,32,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,33,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,34,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,35,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,36,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,37,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,38,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,39,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,40,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,41,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,42,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,43,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,44,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,45,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,46,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,47,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,48,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,49,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,50,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,51,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,52,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,53,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,54,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,55,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,56,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,57,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,58,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,59,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,60,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,61,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,62,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,63,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,64,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,65,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,66,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,67,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,68,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,69,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,70,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,71,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,72,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,73,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,74,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,75,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,76,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,77,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,78,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,79,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,80,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,81,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,82,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,83,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,84,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,85,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,86,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,87,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,88,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,89,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,90,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,91,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,92,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,93,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,94,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,95,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,96,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,97,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,98,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,99,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
